Gene	Gene.name	Tissue	nTPM	brain_2	brain_1
ENSG00000111667	USP5	amygdala	23.1	Brain	Brain
ENSG00000111669	TPI1	amygdala	524.7	Brain	Brain
ENSG00000111670	GNPTAB	amygdala	21	Brain	Brain
ENSG00000111671	SPSB2	amygdala	5	Brain	Brain
ENSG00000111674	ENO2	amygdala	217.1	Brain	Brain
ENSG00000111676	ATN1	amygdala	103	Brain	Brain
ENSG00000111678	C12orf57	amygdala	271.5	Brain	Brain
ENSG00000111679	PTPN6	choroid plexus	13.4	Brain	Brain
ENSG00000111684	LPCAT3	amygdala	6.3	Brain	Brain
ENSG00000111696	NT5DC3	amygdala	6.8	Brain	Brain
ENSG00000111700	SLCO1B3	choroid plexus	13.7	Brain	Brain
ENSG00000111707	SUDS3	amygdala	10.3	Brain	Brain
ENSG00000111711	GOLT1B	amygdala	13.4	Brain	Brain
ENSG00000111716	LDHB	amygdala	643.8	Brain	Brain
ENSG00000111725	PRKAB1	amygdala	7.7	Brain	Brain
ENSG00000111726	CMAS	amygdala	51.7	Brain	Brain
ENSG00000111727	HCFC2	cerebral cortex	6	Brain	Brain
ENSG00000111728	ST8SIA1	cerebellum	6.4	Brain	Brain
ENSG00000111731	C2CD5	amygdala	11.7	Brain	Brain
ENSG00000111737	RAB35	amygdala	16.2	Brain	Brain
ENSG00000111752	PHC1	amygdala	17.4	Brain	Brain
ENSG00000111775	COX6A1	amygdala	1660.9	Brain	Brain
ENSG00000111783	RFX4	amygdala	19.7	Brain	Brain
ENSG00000111785	RIC8B	amygdala	5.9	Brain	Brain
ENSG00000111786	SRSF9	amygdala	63.3	Brain	Brain
ENSG00000111790	FGFR1OP2	amygdala	26.1	Brain	Brain
ENSG00000111801	BTN3A3	cerebral cortex	9.8	Brain	Brain
ENSG00000111802	TDP2	amygdala	23.3	Brain	Brain
ENSG00000111817	DSE	choroid plexus	11	Brain	Brain
ENSG00000111832	RWDD1	amygdala	45.9	Brain	Brain
ENSG00000111834	RSPH4A	choroid plexus	22.6	Brain	Brain
ENSG00000111837	MAK	choroid plexus	6.9	Brain	Brain
ENSG00000111843	TMEM14C	amygdala	68	Brain	Brain
ENSG00000111845	PAK1IP1	amygdala	8.8	Brain	Brain
ENSG00000111850	SMIM8	amygdala	8.9	Brain	Brain
ENSG00000111859	NEDD9	amygdala	6.6	Brain	Brain
ENSG00000111860	CEP85L	cerebellum	5.9	Brain	Brain
ENSG00000111863	ADTRP	choroid plexus	100.6	Brain	Brain
ENSG00000111875	ASF1A	amygdala	14.6	Brain	Brain
ENSG00000111879	FAM184A	amygdala	15.7	Brain	Brain
ENSG00000111880	RNGTT	cerebellum	7.2	Brain	Brain
ENSG00000111885	MAN1A1	basal ganglia	14.9	Brain	Brain
ENSG00000111897	SERINC1	amygdala	242.8	Brain	Brain
ENSG00000111906	HDDC2	amygdala	169.3	Brain	Brain
ENSG00000111907	TPD52L1	amygdala	100.4	Brain	Brain
ENSG00000111911	HINT3	amygdala	35.8	Brain	Brain
ENSG00000111912	NCOA7	amygdala	16.6	Brain	Brain
ENSG00000111913	RIPOR2	amygdala	7.7	Brain	Brain
ENSG00000111961	SASH1	amygdala	26.8	Brain	Brain
ENSG00000111962	UST	basal ganglia	7.8	Brain	Brain
ENSG00000112031	MTRF1L	cerebellum	5.2	Brain	Brain
ENSG00000112033	PPARD	amygdala	27.5	Brain	Brain
ENSG00000112062	MAPK14	amygdala	10.3	Brain	Brain
ENSG00000112078	KCTD20	amygdala	15.6	Brain	Brain
ENSG00000112079	STK38	amygdala	9.1	Brain	Brain
ENSG00000112081	SRSF3	amygdala	50.1	Brain	Brain
ENSG00000112110	MRPL18	amygdala	63.1	Brain	Brain
ENSG00000112118	MCM3	amygdala	12.2	Brain	Brain
ENSG00000112130	RNF8	amygdala	8.1	Brain	Brain
ENSG00000112137	PHACTR1	amygdala	17	Brain	Brain
ENSG00000112139	MDGA1	cerebellum	108.3	Brain	Brain
ENSG00000112144	CILK1	amygdala	5.9	Brain	Brain
ENSG00000112146	FBXO9	amygdala	27.8	Brain	Brain
ENSG00000112149	CD83	amygdala	10.6	Brain	Brain
ENSG00000112159	MDN1	basal ganglia	5.6	Brain	Brain
ENSG00000112167	SAYSD1	basal ganglia	5.2	Brain	Brain
ENSG00000112183	RBM24	basal ganglia	6.1	Brain	Brain
ENSG00000112186	CAP2	amygdala	12	Brain	Brain
ENSG00000112200	ZNF451	amygdala	8.3	Brain	Brain
ENSG00000112210	RAB23	amygdala	5.8	Brain	Brain
ENSG00000112232	KHDRBS2	basal ganglia	6.6	Brain	Brain
ENSG00000112234	FBXL4	choroid plexus	5.4	Brain	Brain
ENSG00000112237	CCNC	amygdala	15.7	Brain	Brain
ENSG00000112242	E2F3	basal ganglia	6	Brain	Brain
ENSG00000112245	PTP4A1	amygdala	37.5	Brain	Brain
ENSG00000112249	ASCC3	cerebral cortex	6.2	Brain	Brain
ENSG00000112276	BVES	midbrain	5.3	Brain	Brain
ENSG00000112280	COL9A1	amygdala	13.6	Brain	Brain
ENSG00000112282	MED23	cerebellum	11.7	Brain	Brain
ENSG00000112290	WASF1	amygdala	50.8	Brain	Brain
ENSG00000112293	GPLD1	cerebellum	8.1	Brain	Brain
ENSG00000112294	ALDH5A1	amygdala	31.3	Brain	Brain
ENSG00000112297	CRYBG1	choroid plexus	17	Brain	Brain
ENSG00000112304	ACOT13	amygdala	8.3	Brain	Brain
ENSG00000112305	SMAP1	amygdala	15.8	Brain	Brain
ENSG00000112306	RPS12	amygdala	1337.7	Brain	Brain
ENSG00000112308	C6orf62	amygdala	58.1	Brain	Brain
ENSG00000112309	B3GAT2	amygdala	9.8	Brain	Brain
ENSG00000112312	GMNN	amygdala	16.5	Brain	Brain
ENSG00000112320	SOBP	amygdala	18.6	Brain	Brain
ENSG00000112333	NR2E1	amygdala	20.8	Brain	Brain
ENSG00000112335	SNX3	amygdala	229.6	Brain	Brain
ENSG00000112339	HBS1L	amygdala	32.4	Brain	Brain
ENSG00000112357	PEX7	amygdala	6.7	Brain	Brain
ENSG00000112367	FIG4	amygdala	10.5	Brain	Brain
ENSG00000112378	PERP	basal ganglia	5.3	Brain	Brain
ENSG00000112379	ARFGEF3	amygdala	7.3	Brain	Brain
ENSG00000112394	SLC16A10	choroid plexus	25.5	Brain	Brain
ENSG00000112406	HECA	amygdala	9.3	Brain	Brain
ENSG00000112419	PHACTR2	choroid plexus	17.3	Brain	Brain
ENSG00000112425	EPM2A	amygdala	12.5	Brain	Brain
ENSG00000112473	SLC39A7	amygdala	21.7	Brain	Brain
ENSG00000112511	PHF1	amygdala	30.9	Brain	Brain
ENSG00000112514	CUTA	amygdala	185.4	Brain	Brain
