Gene	Gene.name	Tissue	nTPM	brain_2	brain_1
ENSG00000185920	PTCH1	cerebellum	5.9	Brain	Brain
ENSG00000185924	RTN4RL1	amygdala	5.1	Brain	Brain
ENSG00000185942	NKAIN3	cerebral cortex	7.6	Brain	Brain
ENSG00000185946	RNPC3	amygdala	14.2	Brain	Brain
ENSG00000185950	IRS2	amygdala	10.5	Brain	Brain
ENSG00000185955	SPACDR	amygdala	7.3	Brain	Brain
ENSG00000185963	BICD2	amygdala	10	Brain	Brain
ENSG00000185973	TMLHE	amygdala	5.3	Brain	Brain
ENSG00000185985	SLITRK2	amygdala	10.8	Brain	Brain
ENSG00000185988	PLK5	amygdala	6	Brain	Brain
ENSG00000185989	RASA3	amygdala	15.9	Brain	Brain
ENSG00000186001	LRCH3	amygdala	9.7	Brain	Brain
ENSG00000186009	ATP4B	choroid plexus	7	Brain	Brain
ENSG00000186010	NDUFA13	amygdala	231.7	Brain	Brain
ENSG00000186017	ZNF566	amygdala	5.5	Brain	Brain
ENSG00000186020	ZNF529	amygdala	6.1	Brain	Brain
ENSG00000186047	DLEU7	cerebral cortex	5.7	Brain	Brain
ENSG00000186063	AIDA	amygdala	28.9	Brain	Brain
ENSG00000186081	KRT5	choroid plexus	137.5	Brain	Brain
ENSG00000186106	ANKRD46	amygdala	29.3	Brain	Brain
ENSG00000186111	PIP5K1C	amygdala	42	Brain	Brain
ENSG00000186130	ZBTB6	cerebral cortex	6.6	Brain	Brain
ENSG00000186132	C2orf76	amygdala	18.7	Brain	Brain
ENSG00000186141	POLR3C	amygdala	6.5	Brain	Brain
ENSG00000186153	WWOX	amygdala	16.9	Brain	Brain
ENSG00000186166	CENATAC	amygdala	11.2	Brain	Brain
ENSG00000186174	BCL9L	basal ganglia	5.3	Brain	Brain
ENSG00000186184	POLR1D	amygdala	45.7	Brain	Brain
ENSG00000186187	ZNRF1	amygdala	25.7	Brain	Brain
ENSG00000186193	SAPCD2	amygdala	12.4	Brain	Brain
ENSG00000186205	MTARC1	amygdala	10.7	Brain	Brain
ENSG00000186222	BLOC1S4	amygdala	6.5	Brain	Brain
ENSG00000186231	KLHL32	amygdala	12	Brain	Brain
ENSG00000186260	MRTFB	amygdala	5.9	Brain	Brain
ENSG00000186281	GPAT2	choroid plexus	6.9	Brain	Brain
ENSG00000186283	TOR3A	amygdala	8.8	Brain	Brain
ENSG00000186288	PABPC1L2A	cerebellum	8	Brain	Brain
ENSG00000186297	GABRA5	amygdala	28.5	Brain	Brain
ENSG00000186298	PPP1CC	amygdala	46.5	Brain	Brain
ENSG00000186310	NAP1L3	amygdala	62.2	Brain	Brain
ENSG00000186318	BACE1	amygdala	28.3	Brain	Brain
ENSG00000186326	RGS9BP	choroid plexus	12.2	Brain	Brain
ENSG00000186340	THBS2	amygdala	8.6	Brain	Brain
ENSG00000186350	RXRA	cerebral cortex	12.5	Brain	Brain
ENSG00000186352	ANKRD37	amygdala	14.6	Brain	Brain
ENSG00000186364	NUDT17	amygdala	5.6	Brain	Brain
ENSG00000186376	ZNF75D	cerebellum	5.7	Brain	Brain
ENSG00000186377	CYP4X1	amygdala	5.5	Brain	Brain
ENSG00000186395	KRT10	amygdala	53.1	Brain	Brain
ENSG00000186407	CD300E	choroid plexus	8.4	Brain	Brain
ENSG00000186409	CCDC30	choroid plexus	9.8	Brain	Brain
ENSG00000186416	NKRF	amygdala	7.5	Brain	Brain
ENSG00000186417	GLDN	amygdala	12.5	Brain	Brain
ENSG00000186432	KPNA4	amygdala	11.5	Brain	Brain
ENSG00000186439	TRDN	hypothalamus	8.9	Brain	Brain
ENSG00000186448	ZNF197	amygdala	6.7	Brain	Brain
ENSG00000186462	NAP1L2	amygdala	28.7	Brain	Brain
ENSG00000186468	RPS23	amygdala	1159.4	Brain	Brain
ENSG00000186469	GNG2	amygdala	74.4	Brain	Brain
ENSG00000186470	BTN3A2	amygdala	6.2	Brain	Brain
ENSG00000186471	AKAP14	choroid plexus	75.1	Brain	Brain
ENSG00000186472	PCLO	basal ganglia	9.2	Brain	Brain
ENSG00000186479	RGS7BP	basal ganglia	5.7	Brain	Brain
ENSG00000186480	INSIG1	amygdala	28.9	Brain	Brain
ENSG00000186487	MYT1L	amygdala	17.4	Brain	Brain
ENSG00000186501	TMEM222	amygdala	49.1	Brain	Brain
ENSG00000186510	CLCNKA	cerebellum	7.4	Brain	Brain
ENSG00000186522	SEPTIN10	amygdala	14.5	Brain	Brain
ENSG00000186523	FAM86B1	basal ganglia	7.3	Brain	Brain
ENSG00000186532	SMYD4	cerebellum	7	Brain	Brain
ENSG00000186566	GPATCH8	cerebral cortex	10.4	Brain	Brain
ENSG00000186567	CEACAM19	cerebellum	7.4	Brain	Brain
ENSG00000186575	NF2	amygdala	25.3	Brain	Brain
ENSG00000186577	SMIM29	amygdala	119.3	Brain	Brain
ENSG00000186591	UBE2H	amygdala	37.4	Brain	Brain
ENSG00000186625	KATNA1	amygdala	6.5	Brain	Brain
ENSG00000186635	ARAP1	amygdala	30.9	Brain	Brain
ENSG00000186642	PDE2A	amygdala	76.6	Brain	Brain
ENSG00000186648	CARMIL3	cerebellum	22.3	Brain	Brain
ENSG00000186654	PRR5	amygdala	10.9	Brain	Brain
ENSG00000186660	ZFP91	amygdala	26.4	Brain	Brain
ENSG00000186665	C17orf58	amygdala	5.4	Brain	Brain
ENSG00000186687	LYRM7	amygdala	8.3	Brain	Brain
ENSG00000186710	CFAP73	amygdala	5.5	Brain	Brain
ENSG00000186716	BCR	amygdala	32.6	Brain	Brain
ENSG00000186732	MPPED1	amygdala	14.7	Brain	Brain
ENSG00000186787	SPIN2B	amygdala	13.8	Brain	Brain
ENSG00000186792	HYAL3	basal ganglia	5.3	Brain	Brain
ENSG00000186812	ZNF397	amygdala	10.7	Brain	Brain
ENSG00000186814	ZSCAN30	amygdala	11.2	Brain	Brain
ENSG00000186815	TPCN1	amygdala	25.3	Brain	Brain
ENSG00000186818	LILRB4	hippocampal formation	5	Brain	Brain
ENSG00000186834	HEXIM1	amygdala	20.4	Brain	Brain
ENSG00000186862	PDZD7	basal ganglia	8.1	Brain	Brain
ENSG00000186866	POFUT2	amygdala	7.6	Brain	Brain
ENSG00000186868	MAPT	amygdala	87.4	Brain	Brain
ENSG00000186889	TMEM17	basal ganglia	7.1	Brain	Brain
ENSG00000186891	TNFRSF18	cerebellum	5	Brain	Brain
ENSG00000186895	FGF3	cerebellum	13.3	Brain	Brain
ENSG00000186907	RTN4RL2	amygdala	17.1	Brain	Brain
ENSG00000186908	ZDHHC17	amygdala	13.8	Brain	Brain
ENSG00000186918	ZNF395	amygdala	13.9	Brain	Brain
ENSG00000186951	PPARA	choroid plexus	6.4	Brain	Brain
ENSG00000186973	FAM183A	basal ganglia	5.5	Brain	Brain
ENSG00000186994	KANK3	amygdala	6.2	Brain	Brain
ENSG00000186998	EMID1	amygdala	31.9	Brain	Brain
ENSG00000187017	ESPN	cerebellum	20.5	Brain	Brain
ENSG00000187024	PTRH1	amygdala	19.7	Brain	Brain
ENSG00000187049	TMEM216	amygdala	14.5	Brain	Brain
ENSG00000187051	RPS19BP1	amygdala	140.5	Brain	Brain
ENSG00000187068	C3orf70	amygdala	11.3	Brain	Brain
ENSG00000187079	TEAD1	amygdala	7.1	Brain	Brain
ENSG00000187091	PLCD1	amygdala	12.4	Brain	Brain
ENSG00000187094	CCK	amygdala	244.6	Brain	Brain
ENSG00000187097	ENTPD5	amygdala	5.3	Brain	Brain
ENSG00000187098	MITF	choroid plexus	8.1	Brain	Brain
ENSG00000187109	NAP1L1	amygdala	254.5	Brain	Brain
ENSG00000187118	CMC1	amygdala	16.3	Brain	Brain
ENSG00000187122	SLIT1	amygdala	18.9	Brain	Brain
ENSG00000187123	LYPD6	cerebral cortex	5.6	Brain	Brain
ENSG00000187134	AKR1C1	amygdala	8.9	Brain	Brain
ENSG00000187135	VSTM2B	amygdala	38.4	Brain	Brain
ENSG00000187147	RNF220	amygdala	26.1	Brain	Brain
ENSG00000187164	SHTN1	amygdala	41.4	Brain	Brain
ENSG00000187186	ENSG00000187186	amygdala	57.3	Brain	Brain
ENSG00000187189	TSPYL4	amygdala	49.8	Brain	Brain
ENSG00000187193	MT1X	amygdala	363.8	Brain	Brain
ENSG00000187231	SESTD1	amygdala	6.8	Brain	Brain
ENSG00000187239	FNBP1	amygdala	24.5	Brain	Brain
ENSG00000187240	DYNC2H1	choroid plexus	18.5	Brain	Brain
ENSG00000187243	MAGED4B	amygdala	20	Brain	Brain
ENSG00000187244	BCAM	amygdala	16.9	Brain	Brain
ENSG00000187257	RSBN1L	basal ganglia	5.1	Brain	Brain
ENSG00000187260	WDR86	amygdala	9.7	Brain	Brain
ENSG00000187266	EPOR	choroid plexus	9.5	Brain	Brain
ENSG00000187325	TAF9B	amygdala	19.1	Brain	Brain
ENSG00000187391	MAGI2	amygdala	18.7	Brain	Brain
ENSG00000187398	LUZP2	amygdala	10.3	Brain	Brain
ENSG00000187416	LHFPL3	amygdala	13.8	Brain	Brain
ENSG00000187446	CHP1	amygdala	32.5	Brain	Brain
ENSG00000187479	C11orf96	amygdala	42.2	Brain	Brain
ENSG00000187486	KCNJ11	amygdala	5.3	Brain	Brain
ENSG00000187498	COL4A1	amygdala	6.4	Brain	Brain
ENSG00000187513	GJA4	amygdala	8.9	Brain	Brain
ENSG00000187514	PTMA	amygdala	813.3	Brain	Brain
ENSG00000187522	HSPA14	amygdala	7.4	Brain	Brain
ENSG00000187527	ATP13A5	choroid plexus	34.4	Brain	Brain
ENSG00000187531	SIRT7	amygdala	5.4	Brain	Brain
ENSG00000187535	IFT140	amygdala	7.5	Brain	Brain
ENSG00000187555	USP7	amygdala	21.2	Brain	Brain
ENSG00000187601	MAGEH1	amygdala	46.7	Brain	Brain
ENSG00000187605	TET3	cerebellum	5.7	Brain	Brain
ENSG00000187607	ZNF286A	amygdala	5.7	Brain	Brain
ENSG00000187608	ISG15	amygdala	109.9	Brain	Brain
ENSG00000187609	EXD3	amygdala	7	Brain	Brain
ENSG00000187624	C17orf97	amygdala	6.5	Brain	Brain
ENSG00000187630	DHRS4L2	amygdala	11	Brain	Brain
ENSG00000187664	HAPLN4	cerebellum	11.5	Brain	Brain
ENSG00000187672	ERC2	cerebral cortex	9.9	Brain	Brain
ENSG00000187676	B3GLCT	basal ganglia	11.1	Brain	Brain
ENSG00000187678	SPRY4	amygdala	9.9	Brain	Brain
ENSG00000187688	TRPV2	cerebral cortex	5.1	Brain	Brain
ENSG00000187699	C2orf88	amygdala	6.6	Brain	Brain
ENSG00000187713	TMEM203	amygdala	29.6	Brain	Brain
ENSG00000187714	SLC18A3	basal ganglia	5.3	Brain	Brain
ENSG00000187720	THSD4	choroid plexus	5.7	Brain	Brain
ENSG00000187726	DNAJB13	choroid plexus	26.1	Brain	Brain
ENSG00000187730	GABRD	amygdala	26.4	Brain	Brain
ENSG00000187735	TCEA1	amygdala	45.2	Brain	Brain
ENSG00000187736	NHEJ1	cerebellum	6.5	Brain	Brain
ENSG00000187741	FANCA	cerebellum	5.2	Brain	Brain
ENSG00000187742	SECISBP2	amygdala	16.8	Brain	Brain
ENSG00000187764	SEMA4D	amygdala	51	Brain	Brain
ENSG00000187773	DIPK1C	amygdala	23.4	Brain	Brain
ENSG00000187778	MCRS1	amygdala	30	Brain	Brain
ENSG00000187783	TMEM72	choroid plexus	46.6	Brain	Brain
ENSG00000187824	TMEM220	basal ganglia	5.2	Brain	Brain
ENSG00000187837	H1-2	amygdala	29	Brain	Brain
ENSG00000187838	PLSCR3	amygdala	11	Brain	Brain
ENSG00000187840	EIF4EBP1	amygdala	7.5	Brain	Brain
ENSG00000187848	P2RX2	amygdala	6.5	Brain	Brain
ENSG00000187860	CCDC157	choroid plexus	6.2	Brain	Brain
ENSG00000187866	PABIR1	amygdala	5.5	Brain	Brain
ENSG00000187889	FYB2	choroid plexus	10.9	Brain	Brain
ENSG00000187902	SHISA7	amygdala	16.6	Brain	Brain
ENSG00000187954	ZFTRAF1	amygdala	10.6	Brain	Brain
ENSG00000187957	DNER	amygdala	81.8	Brain	Brain
ENSG00000187961	KLHL17	cerebellum	8.9	Brain	Brain
ENSG00000187994	RINL	amygdala	6.8	Brain	Brain
ENSG00000188010	MORN2	amygdala	53.4	Brain	Brain
ENSG00000188011	RTP5	amygdala	34	Brain	Brain
ENSG00000188021	UBQLN2	amygdala	25.4	Brain	Brain
ENSG00000188026	RILPL1	amygdala	17.4	Brain	Brain
ENSG00000188038	NRN1L	basal ganglia	9.4	Brain	Brain
ENSG00000188039	NWD1	basal ganglia	5.4	Brain	Brain
ENSG00000188042	ARL4C	amygdala	14.3	Brain	Brain
ENSG00000188051	TMEM221	cerebral cortex	5.4	Brain	Brain
ENSG00000188064	WNT7B	amygdala	10.3	Brain	Brain
ENSG00000188070	ZFTA	amygdala	12.4	Brain	Brain
ENSG00000188092	GPR89B	amygdala	5	Brain	Brain
ENSG00000188130	MAPK12	amygdala	13.8	Brain	Brain
ENSG00000188153	COL4A5	amygdala	13.1	Brain	Brain
ENSG00000188157	AGRN	amygdala	14.6	Brain	Brain
ENSG00000188171	ZNF626	cerebral cortex	7.5	Brain	Brain
ENSG00000188186	LAMTOR4	amygdala	212.1	Brain	Brain
ENSG00000188191	PRKAR1B	amygdala	148.3	Brain	Brain
ENSG00000188211	NCR3LG1	cerebellum	6.2	Brain	Brain
ENSG00000188227	ZNF793	amygdala	5.7	Brain	Brain
ENSG00000188229	TUBB4B	amygdala	145.4	Brain	Brain
ENSG00000188234	AGAP4	amygdala	7.5	Brain	Brain
ENSG00000188243	COMMD6	amygdala	65	Brain	Brain
ENSG00000188257	PLA2G2A	choroid plexus	22.4	Brain	Brain
ENSG00000188266	HYKK	choroid plexus	8.5	Brain	Brain
ENSG00000188277	C15orf62	cerebellum	5.9	Brain	Brain
ENSG00000188290	HES4	amygdala	13.8	Brain	Brain
ENSG00000188313	PLSCR1	amygdala	16.9	Brain	Brain
ENSG00000188315	C3orf62	amygdala	5.3	Brain	Brain
ENSG00000188316	ENO4	choroid plexus	5.3	Brain	Brain
ENSG00000188321	ZNF559	amygdala	9.6	Brain	Brain
ENSG00000188322	SBK1	amygdala	10.7	Brain	Brain
ENSG00000188338	SLC38A3	amygdala	16.8	Brain	Brain
ENSG00000188342	GTF2F2	amygdala	15.6	Brain	Brain
ENSG00000188343	CIBAR1	amygdala	16.9	Brain	Brain
ENSG00000188352	FOCAD	cerebellum	5.5	Brain	Brain
ENSG00000188372	ZP3	choroid plexus	6.5	Brain	Brain
ENSG00000188385	JAKMIP3	spinal cord	6	Brain	Brain
ENSG00000188396	DYNLT4	choroid plexus	23.6	Brain	Brain
ENSG00000188404	SELL	cerebral cortex	7	Brain	Brain
ENSG00000188419	CHM	cerebellum	5.1	Brain	Brain
ENSG00000188452	CERKL	cerebellum	7	Brain	Brain
ENSG00000188483	IER5L	amygdala	8.7	Brain	Brain
ENSG00000188486	H2AX	amygdala	33.2	Brain	Brain
ENSG00000188488	SERPINA5	choroid plexus	7.7	Brain	Brain
ENSG00000188493	C19orf54	spinal cord	6.1	Brain	Brain
ENSG00000188523	CFAP77	choroid plexus	22.2	Brain	Brain
ENSG00000188529	SRSF10	amygdala	28.1	Brain	Brain
ENSG00000188536	HBA2	amygdala	845.3	Brain	Brain
ENSG00000188549	CCDC9B	amygdala	5.8	Brain	Brain
ENSG00000188554	NBR1	amygdala	39.8	Brain	Brain
ENSG00000188559	RALGAPA2	cerebellum	8.4	Brain	Brain
ENSG00000188566	NDOR1	amygdala	6.6	Brain	Brain
ENSG00000188573	FBLL1	amygdala	19.7	Brain	Brain
ENSG00000188580	NKAIN2	amygdala	25.4	Brain	Brain
ENSG00000188596	CFAP54	choroid plexus	6.7	Brain	Brain
ENSG00000188603	CLN3	amygdala	7.8	Brain	Brain
ENSG00000188612	SUMO2	amygdala	220.4	Brain	Brain
ENSG00000188613	NANOS1	amygdala	6.1	Brain	Brain
ENSG00000188629	ZNF177	amygdala	6.9	Brain	Brain
ENSG00000188636	RTL6	amygdala	16.4	Brain	Brain
ENSG00000188641	DPYD	spinal cord	8.4	Brain	Brain
ENSG00000188643	S100A16	amygdala	119.6	Brain	Brain
ENSG00000188647	PTAR1	amygdala	6.9	Brain	Brain
ENSG00000188659	SAXO2	choroid plexus	6.9	Brain	Brain
ENSG00000188674	C2orf80	amygdala	36	Brain	Brain
ENSG00000188677	PARVB	amygdala	16.9	Brain	Brain
ENSG00000188687	SLC4A5	choroid plexus	42.7	Brain	Brain
ENSG00000188690	UROS	amygdala	115.3	Brain	Brain
ENSG00000188706	ZDHHC9	amygdala	26.5	Brain	Brain
ENSG00000188725	SMIM15	amygdala	17.6	Brain	Brain
ENSG00000188730	VWC2	cerebellum	10.7	Brain	Brain
ENSG00000188732	FAM221A	amygdala	14.9	Brain	Brain
ENSG00000188735	TMEM120B	amygdala	5.2	Brain	Brain
ENSG00000188739	RBM34	amygdala	11.9	Brain	Brain
ENSG00000188747	NOXA1	amygdala	8.1	Brain	Brain
ENSG00000188760	TMEM198	amygdala	10.4	Brain	Brain
ENSG00000188763	FZD9	amygdala	5.2	Brain	Brain
ENSG00000188766	SPRED3	cerebral cortex	6	Brain	Brain
ENSG00000188779	SKOR1	cerebellum	8.8	Brain	Brain
ENSG00000188783	PRELP	amygdala	11.3	Brain	Brain
ENSG00000188785	ZNF548	cerebellum	10.5	Brain	Brain
ENSG00000188803	SHISA6	amygdala	8	Brain	Brain
ENSG00000188807	TMEM201	amygdala	8.6	Brain	Brain
ENSG00000188811	NHLRC3	amygdala	7.4	Brain	Brain
ENSG00000188818	ZDHHC11	amygdala	5.6	Brain	Brain
ENSG00000188820	CALHM6	amygdala	5.7	Brain	Brain
ENSG00000188827	SLX4	cerebellum	13.7	Brain	Brain
ENSG00000188846	RPL14	amygdala	114.7	Brain	Brain
ENSG00000188878	FBF1	amygdala	8.3	Brain	Brain
ENSG00000188895	MSL1	amygdala	41.8	Brain	Brain
ENSG00000188906	LRRK2	amygdala	5	Brain	Brain
ENSG00000188931	CFAP126	amygdala	8.5	Brain	Brain
ENSG00000188938	FAM120AOS	amygdala	21.1	Brain	Brain
ENSG00000188976	NOC2L	amygdala	19.8	Brain	Brain
ENSG00000188986	NELFB	amygdala	40.8	Brain	Brain
ENSG00000188994	ZNF292	cerebellum	10.3	Brain	Brain
ENSG00000188997	KCTD21	amygdala	9.3	Brain	Brain
ENSG00000189001	SBSN	basal ganglia	9.2	Brain	Brain
ENSG00000189007	ADAT2	cerebellum	5.6	Brain	Brain
ENSG00000189042	ZNF567	cerebellum	5.5	Brain	Brain
ENSG00000189043	NDUFA4	amygdala	331.1	Brain	Brain
ENSG00000189046	ALKBH2	amygdala	17	Brain	Brain
ENSG00000189056	RELN	cerebellum	68.5	Brain	Brain
ENSG00000189058	APOD	amygdala	558.9	Brain	Brain
ENSG00000189060	H1-0	amygdala	73.9	Brain	Brain
ENSG00000189067	LITAF	amygdala	39.7	Brain	Brain
ENSG00000189077	TMEM120A	amygdala	34.2	Brain	Brain
ENSG00000189079	ARID2	cerebellum	7.8	Brain	Brain
ENSG00000189091	SF3B3	amygdala	5.3	Brain	Brain
ENSG00000189114	BLOC1S3	amygdala	5.5	Brain	Brain
ENSG00000189127	ANKRD34B	basal ganglia	10.1	Brain	Brain
ENSG00000189129	PLAC9	amygdala	10.1	Brain	Brain
ENSG00000189143	CLDN4	choroid plexus	8.5	Brain	Brain
ENSG00000189157	FAM47E	amygdala	7.7	Brain	Brain
ENSG00000189159	JPT1	amygdala	52.4	Brain	Brain
ENSG00000189171	S100A13	amygdala	377.7	Brain	Brain
ENSG00000189180	ZNF33A	amygdala	6.3	Brain	Brain
ENSG00000189190	ZNF600	cerebellum	9.3	Brain	Brain
ENSG00000189195	BTBD8	cerebral cortex	13	Brain	Brain
ENSG00000189221	MAOA	amygdala	22.7	Brain	Brain
ENSG00000189227	C15orf61	basal ganglia	6.4	Brain	Brain
ENSG00000189241	TSPYL1	amygdala	79.3	Brain	Brain
ENSG00000189266	PNRC2	amygdala	38.4	Brain	Brain
ENSG00000189283	FHIT	amygdala	12.9	Brain	Brain
ENSG00000189292	ALKAL2	amygdala	5.8	Brain	Brain
ENSG00000189306	RRP7A	amygdala	17.5	Brain	Brain
ENSG00000189308	LIN54	cerebral cortex	6.5	Brain	Brain
ENSG00000189319	FAM53B	amygdala	17.1	Brain	Brain
ENSG00000189337	KAZN	amygdala	25.8	Brain	Brain
ENSG00000189339	SLC35E2B	amygdala	30	Brain	Brain
ENSG00000189350	TOGARAM2	choroid plexus	7.5	Brain	Brain
ENSG00000189367	KIAA0408	amygdala	16.7	Brain	Brain
ENSG00000189369	GSPT2	amygdala	6.5	Brain	Brain
ENSG00000189376	C8orf76	amygdala	9.1	Brain	Brain
ENSG00000189403	HMGB1	amygdala	298.1	Brain	Brain
ENSG00000189410	SH2D5	basal ganglia	18.4	Brain	Brain
ENSG00000196071	OR2L13	spinal cord	5.6	Brain	Brain
ENSG00000196072	BLOC1S2	amygdala	69.4	Brain	Brain
ENSG00000196083	IL1RAP	cerebral cortex	5.1	Brain	Brain
ENSG00000196090	PTPRT	cerebral cortex	14.2	Brain	Brain
ENSG00000196091	MYBPC1	cerebral cortex	12.4	Brain	Brain
ENSG00000196104	SPOCK3	amygdala	56.6	Brain	Brain
ENSG00000196116	TDRD7	amygdala	9.7	Brain	Brain
ENSG00000196118	CFAP119	amygdala	5.3	Brain	Brain
ENSG00000196123	MATCAP1	amygdala	20.1	Brain	Brain
ENSG00000196126	HLA-DRB1	amygdala	41.8	Brain	Brain
ENSG00000196132	MYT1	amygdala	5.9	Brain	Brain
ENSG00000196136	SERPINA3	amygdala	106.7	Brain	Brain
ENSG00000196139	AKR1C3	amygdala	22.4	Brain	Brain
ENSG00000196141	SPATS2L	amygdala	38.2	Brain	Brain
ENSG00000196150	ZNF250	cerebellum	11.4	Brain	Brain
ENSG00000196151	WDSUB1	amygdala	5.9	Brain	Brain
ENSG00000196154	S100A4	amygdala	11.6	Brain	Brain
ENSG00000196169	KIF19	amygdala	7.3	Brain	Brain
ENSG00000196177	ACADSB	amygdala	8.4	Brain	Brain
ENSG00000196182	STK40	amygdala	16.1	Brain	Brain
ENSG00000196187	TMEM63A	amygdala	30	Brain	Brain
ENSG00000196189	SEMA4A	amygdala	26.4	Brain	Brain
ENSG00000196199	MPHOSPH8	amygdala	28.2	Brain	Brain
ENSG00000196208	GREB1	amygdala	6.3	Brain	Brain
ENSG00000196214	ZNF766	choroid plexus	5.6	Brain	Brain
ENSG00000196218	RYR1	amygdala	9.4	Brain	Brain
ENSG00000196220	SRGAP3	amygdala	10.1	Brain	Brain
ENSG00000196227	FAM217B	amygdala	11.3	Brain	Brain
ENSG00000196230	TUBB	amygdala	168.3	Brain	Brain
ENSG00000196233	LCOR	cerebellum	6.4	Brain	Brain
ENSG00000196235	SUPT5H	amygdala	47.5	Brain	Brain
ENSG00000196262	PPIA	amygdala	1589.6	Brain	Brain
ENSG00000196263	ZNF471	amygdala	6.5	Brain	Brain
ENSG00000196267	ZNF836	choroid plexus	7.1	Brain	Brain
ENSG00000196268	ZNF493	basal ganglia	7.5	Brain	Brain
ENSG00000196275	GTF2IRD2	amygdala	7.8	Brain	Brain
ENSG00000196277	GRM7	cerebral cortex	5.5	Brain	Brain
ENSG00000196290	NIF3L1	amygdala	12.3	Brain	Brain
ENSG00000196305	IARS1	amygdala	5.7	Brain	Brain
ENSG00000196313	POM121	amygdala	7.2	Brain	Brain
ENSG00000196323	ZBTB44	amygdala	8.1	Brain	Brain
ENSG00000196329	GIMAP5	basal ganglia	5.1	Brain	Brain
ENSG00000196338	NLGN3	amygdala	14.5	Brain	Brain
ENSG00000196352	CD55	amygdala	12.6	Brain	Brain
ENSG00000196353	CPNE4	cerebral cortex	7.8	Brain	Brain
ENSG00000196358	NTNG2	amygdala	18.8	Brain	Brain
ENSG00000196361	ELAVL3	amygdala	48.4	Brain	Brain
ENSG00000196363	WDR5	amygdala	16	Brain	Brain
ENSG00000196365	LONP1	amygdala	40.2	Brain	Brain
ENSG00000196367	TRRAP	basal ganglia	6.3	Brain	Brain
ENSG00000196368	NUDT11	amygdala	15	Brain	Brain
ENSG00000196369	SRGAP2B	amygdala	8	Brain	Brain
ENSG00000196372	ASB13	amygdala	7.4	Brain	Brain
ENSG00000196376	SLC35F1	amygdala	15.9	Brain	Brain
ENSG00000196378	ZNF34	amygdala	6.4	Brain	Brain
ENSG00000196387	ZNF140	amygdala	5	Brain	Brain
ENSG00000196388	INCA1	cerebral cortex	6.9	Brain	Brain
ENSG00000196391	ZNF774	cerebellum	5.1	Brain	Brain
ENSG00000196396	PTPN1	amygdala	11.1	Brain	Brain
ENSG00000196405	EVL	amygdala	167.9	Brain	Brain
ENSG00000196408	NOXO1	cerebellum	5.4	Brain	Brain
ENSG00000196411	EPHB4	choroid plexus	6.2	Brain	Brain
ENSG00000196419	XRCC6	amygdala	92.5	Brain	Brain
ENSG00000196421	C20orf204	cerebellum	10.7	Brain	Brain
ENSG00000196422	PPP1R26	amygdala	17.4	Brain	Brain
ENSG00000196428	TSC22D2	amygdala	9.7	Brain	Brain
ENSG00000196433	ASMT	choroid plexus	7.4	Brain	Brain
ENSG00000196436	NPIPB15	amygdala	5.7	Brain	Brain
ENSG00000196437	ZNF569	cerebellum	5.5	Brain	Brain
ENSG00000196449	YRDC	amygdala	6.9	Brain	Brain
ENSG00000196453	ZNF777	amygdala	7.9	Brain	Brain
ENSG00000196455	PIK3R4	cerebellum	5.2	Brain	Brain
ENSG00000196456	ZNF775	amygdala	8.9	Brain	Brain
ENSG00000196458	ZNF605	cerebellum	9.9	Brain	Brain
ENSG00000196459	TRAPPC2	amygdala	10.6	Brain	Brain
ENSG00000196465	MYL6B	amygdala	166.9	Brain	Brain
ENSG00000196470	SIAH1	amygdala	13.1	Brain	Brain
ENSG00000196476	C20orf96	amygdala	11	Brain	Brain
ENSG00000196498	NCOR2	amygdala	34.3	Brain	Brain
ENSG00000196502	SULT1A1	amygdala	19.6	Brain	Brain
ENSG00000196503	ARL9	choroid plexus	11.4	Brain	Brain
ENSG00000196504	PRPF40A	amygdala	8.8	Brain	Brain
ENSG00000196507	TCEAL3	amygdala	147.8	Brain	Brain
ENSG00000196510	ANAPC7	amygdala	15.1	Brain	Brain
ENSG00000196517	SLC6A9	amygdala	11.6	Brain	Brain
ENSG00000196526	AFAP1	amygdala	7.2	Brain	Brain
ENSG00000196531	NACA	amygdala	954	Brain	Brain
ENSG00000196535	MYO18A	amygdala	14.4	Brain	Brain
ENSG00000196542	SPTSSB	cerebellum	14.2	Brain	Brain
ENSG00000196544	BORCS6	amygdala	6.7	Brain	Brain
ENSG00000196547	MAN2A2	amygdala	22.2	Brain	Brain
ENSG00000196549	MME	basal ganglia	10.3	Brain	Brain
ENSG00000196550	FAM72A	cerebellum	5.5	Brain	Brain
ENSG00000196557	CACNA1H	amygdala	7	Brain	Brain
ENSG00000196562	SULF2	amygdala	39.4	Brain	Brain
ENSG00000196565	HBG2	choroid plexus	9.1	Brain	Brain
ENSG00000196569	LAMA2	choroid plexus	18.1	Brain	Brain
ENSG00000196576	PLXNB2	amygdala	8.3	Brain	Brain
ENSG00000196581	AJAP1	basal ganglia	6.2	Brain	Brain
ENSG00000196586	MYO6	amygdala	18.6	Brain	Brain
ENSG00000196588	MRTFA	amygdala	13.6	Brain	Brain
ENSG00000196591	HDAC2	amygdala	28.3	Brain	Brain
ENSG00000196605	ZNF846	amygdala	6.6	Brain	Brain
ENSG00000196616	ADH1B	choroid plexus	24.4	Brain	Brain
ENSG00000196628	TCF4	amygdala	7	Brain	Brain
